Category,Customer_ID,Website,Comment,Label,Date
A2,1,Amazon," Trustworthy, Tasty & Healthy Desi Ghee...",Positive,01.08.2024
A2,2,Amazon, Closest to homemade ghee,Positive,01.08.2024
A2,3,Amazon, Excellent quality and pure A2 Desi Ghee. I am very happy with this.,Positive,01.08.2024
A2,4,Amazon, Not worth the money,Negative,01.08.2024
A2,5,Amazon, Absolutely love this!,Neutral,01.08.2024
A2,6,Amazon,Fair,Neutral,01.08.2024
A2,7,Amazon,Great Quality,Positive,01.08.2024
A2,8,Amazon," Use it, then you will know that it is really Cow Ghee made by bilona technique. Flavour is too good.",Positive,01.08.2024
A2,9,Amazon,Taste better,Positive,01.08.2024
A2,10,Amazon,Pure,Positive,01.08.2024
A2,11,Amazon,Taste is good but no idea about cost satisfaction and claimed method used for making ghee,Neutral,01.08.2024
A2,12,Amazon,Superstar Ghee,Positive,01.08.2024
A2,13,Amazon,Best Organic Ghee,Positive,01.08.2024
A2,14,Amazon,Poor quality product,Negative,01.08.2024
A2,15,Amazon,Bad,Negative,01.08.2024
A2,16,Amazon,Average taste,Neutral,01.08.2024
A2,17,Amazon,Best product.value ffor money,Positive,01.08.2024
A2,18,Amazon,Too much over price,Negative,01.08.2024
A2,19,Amazon,Good,Positive,01.08.2024
A2,20,Amazon,Authentic and excellent.,Positive,02.08.2024
A2,21,Amazon,Good Ghee,Positive,02.08.2024
A2,22,Amazon,Delicious and amazing ghee!!,Positive,02.08.2024
A2,23,Amazon,Overpriced Marketing Gimmick,Negative,02.08.2024
A2,24,Amazon,Quality has degraded greatly. Leaky packaging,Negative,02.08.2024
A2,25,Amazon,Too Costly to feel organic,Negative,02.08.2024
A2,26,Amazon,Really love this product and Two Brothers Organic Farms.,Positive,02.08.2024
A2,27,Amazon,Useful product for our health.,Positive,02.08.2024
A2,28,Amazon,Best,Positive,02.08.2024
A2,29,Amazon,Pure and best Ghee,Positive,02.08.2024
A2,30,Amazon,Value for money. Go for it ????,Positive,02.08.2024
A2,31,Amazon, The ghee is satvik...,Positive,02.08.2024
A2,32,Amazon,Best product,Positive,02.08.2024
A2,33,Amazon,The product was of very good quality.,Positive,02.08.2024
A2,34,Amazon,"Headline - Best ghee for my children, after trying many other .",Positive,02.08.2024
A2,35,Amazon,Awesome product,Positive,03.08.2024
A2,36,Amazon,Go for it without a second thought,Positive,03.08.2024
A2,37,Amazon,Healthy product. VALUE FOR PRICE,Positive,03.08.2024
A2,38,Amazon,Worth for-money,Positive,03.08.2024
A2,39,Amazon,Authentic,Positive,03.08.2024
A2,40,Amazon,Taste and texture is what I wanted .,Positive,03.08.2024
A2,41,Amazon,Lovely aroma with dal rice and khichdi.,Positive,03.08.2024
A2,42,Amazon,Brilliant quality,Positive,03.08.2024
A2,43,Amazon,Faaaantastic Ghee and as Basic in taste as it should be..!,Positive,03.08.2024
A2,44,Amazon,Tastes & Smells Average,Negative,03.08.2024
A2,45,Amazon,Nice and natural aroma,Positive,03.08.2024
A2,46,Amazon,Good ordinary ghee. Not sure why the premium price,Negative,03.08.2024
A2,47,Amazon,The real ghee!,Positive,03.08.2024
A2,48,Amazon,This batch smells!,Negative,03.08.2024
A2,49,Amazon,Not good taste and aroma,Negative,03.08.2024
A2,50,Amazon,Highly recommended,Positive,03.08.2024
A2,51,Amazon,Good Ghee Purchase,Positive,03.08.2024
A2,52,Amazon,It’s ghee but not pure as claimed.,Neutral,03.08.2024
A2,53,Amazon,Not Value for Money,Negative,03.08.2024
A2,54,Amazon,Good ghee which comes with very high premium price.,Neutral,03.08.2024
A2,55,Amazon,Best product,Positive,04.08.2024
A2,56,Amazon,Cost is little high..but product has quality!!,Positive,04.08.2024
A2,57,Amazon,"Glass Bottle, Break Proof Packing, Divine Taste",Positive,04.08.2024
A2,58,Amazon,Nice ghee. With good aroma and nice texture..,Positive,04.08.2024
A2,59,Amazon,Best Ghee ever seen and highly recommended..... !,Positive,04.08.2024
A2,60,Amazon,Top Best Ghee Brand in India,Positive,04.08.2024
A2,61,Amazon, Taste and smell is awful,Negative,04.08.2024
A2,62,Amazon,Pure Grass fed Indigenous Cow Ghee,Positive,04.08.2024
A2,63,Amazon, good product,Positive,04.08.2024
A2,64,Amazon,It is Good and Organic Desi Cow Ghee,Positive,04.08.2024
A2,65,Amazon,Excellent product,Positive,04.08.2024
A2,66,Amazon,Overpriced ghee doesn't have any flavor,Negative,04.08.2024
A2,67,Amazon,ADULTERATED !,Negative,04.08.2024
A2,68,Amazon,Aroma is not that great,Negative,04.08.2024
A2,69,Amazon, Trust satisfaction ??,Positive,04.08.2024
A2,70,Amazon,It is really 100? originally bilona ghee. I used it personally iam saying,Positive,05.08.2024
A2,71,Amazon,aromatic pure ghee.,Positive,05.08.2024
A2,72,Amazon,Excellent,Positive,05.08.2024
A2,73,Amazon,Natural ghee,Positive,05.08.2024
A2,74,Amazon,Not upto the mark,Negative,05.08.2024
A2,75,Amazon,Very good product,Positive,05.08.2024
A2,76,Amazon,Did not expect such a product from Two Brothers,Negative,05.08.2024
A2,77,Amazon,Healthy Great quality Ghee,Positive,05.08.2024
A2,78,Amazon,Good but it may be improved.,Neutral,05.08.2024
A2,79,Amazon,Good,Positive,05.08.2024
A2,80,Amazon,It is thick,Negative,05.08.2024
A2,81,Amazon,Devinity in one spoon,Positive,05.08.2024
A2,82,Amazon, Its no way near to the flavour of Ghee made of Cow Milk in West Bengal,Negative,05.08.2024
A2,83,Amazon, Must try for organic freaks.,Positive,05.08.2024
A2,84,Amazon,Doesn't seem 100% pure,Negative,05.08.2024
A2,85,Amazon,A pleasant smell and taste - different than other ghee!,Positive,05.08.2024
A2,86,Amazon,Quality Good,Positive,05.08.2024
